column_0,column_1
ASSAÍ VITÓRIA AEROPORTO,2T2024
ASSAÍ MARGINAL TIETÊ VILA MARIA,1T2024
ASSAÍ SANTA ROSA,1T2024
ASSAÍ ZONA NORTE,1T2024
ASSAÍ CIDADE TIRADENTES,1T2024
