column_0,column_1
ASSAÍ CAMPINAS ABOLIÇÃO - SP,4T2022
ASSAÍ BOA VIAGEM - PE,4T2022
ASSAÍ KENNEDY - PR,4T2022
ASSAÍ AMOREIRAS - SP,4T2022
ASSAÍ BRASÍLIA NORTE - DF,4T2022
ASSAÍ RIBEIRÃO PRETO VARGAS - SP,4T2022
ASSAÍ EPITÁCIO PESSOA - PB,4T2022
Assaí São Bernardo Anchieta - SP,4T2022
ASSAÍ AEROPORTO CONGONHAS,4T2022
ASSAÍ JOÃO DIAS - SP,4T2022
ASSAÍ ARARUAMA,4T2022
ASSAÍ IPATINGA - MG,4T2022
ASSAÍ AVENIDA MARACANÃ - RJ,4T2022
Assaí Santos Ana Costa - SP,4T2022
ASSAÍ BELVEDERE - MG,4T2022
Assaí São Caetano do Sul - SP,4T2022
ASSAÍ MACEIÓ FAROL - AL,4T2022
Assaí Maceió Mangabeiras - AL,4T2022
ASSAÍ KENNEDY - PI,4T2022
ASSAÍ GUARULHOS B. MAIA,4T2022
ASSAÍ MARIA LACERDA - RN,4T2022
Assaí Brasília Park,4T2022
Assaí Jaguaré Corifeu,4T2022
ASSAÍ ADÉLIA FRANCO,4T2022
Assaí Marginal Tietê Tatuapé - SP,4T2022
ASSAÍ CORDOVIL - RJ,4T2022
Assaí Sorocaba Santa Rosália,4T2022
Assaí Penha Tiquatira - SP,4T2022
Assaí Goiânia Portugal - GO,4T2022
ASSAÍ MISTER HULL - CE,4T2022
ASSAÍ BRASÍLIA SIA - DF,4T2022
ASSAÍ RAPOSO TAVARES - SP,4T2022
ASSAÍ MOGILAR - SP,4T2022
ASSAÍ CARIOCA - RJ,4T2022
Assaí Curitiba Av. XV - PR,4T2022
ASSAÍ INTERLAGOS - SP,3T2022
ASSAÍ SOROCABA CAMPOLIM - SP,3T2022
ASSAÍ TABOÃO CENTRO - SP,3T2022
ASSAÍ ITATIBA - SP,3T2022
ASSAÍ VASCO DA GAMA - BA,3T2022
ASSAÍ SÃO GONÇALO CENTRO,3T2022
ASSAÍ FREGUESIA DO Ó - SP,3T2022
ASSAÍ TAGUATINGA SHOPPING,3T2022
Assaí Joquei Clube - CE,3T2022
ASSAÍ ANHANGUERA - SP,3T2022
ASSAÍ PALMAS II,3T2022
ASSAÍ GUAIANASES,3T2022
ASSAÍ ARARAQUARA - SP,3T2022
ASSAÍ CABULA - BA,3T2022
ASSAÍ CAMPINA GRANDE - PB,3T2022
ASSAÍ CAMPINA GRANDE,3T2022
ASSAÍ CEILÂNDIA,3T2022
ASSAÍ BETIM,2T2022
ASSAÍ TEIXEIRA DE FREITAS,2T2022
ASSAÍ RIBEIRÃO PRETO CASTELO BRANCO - SP,2T2022
ASSAÍ RIBEIRÃO PRETO IMIGRANTES,2T2022
ASSAÍ BARRIS,2T2022
ASSAÍ ALMIRANTE BARROSO - PA,1T2022
ASSAÍ BELÉM ALMIRANTE,1T2022
ASSAÍ PETROLINA,1T2022
ASSAÍ NOSSA SENHORA DO SOCORRO,1T2022
ASSAÍ PORTO VELHO IMIGRANTES,1T2022
PORTO VELHO IMIGRANTES - RO,1T2022
